80	70	50
80	70	0
50	100	0
20	70	0
40	90	0
42.5	87.5	0
35	75	0
42.5	87.5	0
45	85	0
40	72.5	0
45	85	0
47.5	84.375	0
45	75	0
47.5	84.375	0
50	83.75	0
50	75	0
50	83.75	0
52.5	84.375	0
55	75	0
52.5	84.375	0
55	85	0
60	72.5	0
55	85	0
57.5	87.5	0
65	75	0
57.5	87.5	0
60	90	0
60	90	50
15	37.5	0
15	75	0
12.5	70	0
15	75	0
17.5	70	0
10	67.5	0
15	70	0
20	67.5	0
10	62.5	0
15	65	0
20	62.5	0
10	57.5	0
15	60	0
20	57.5	0
10	52.5	0
15	55	0
20	52.5	0
10	47.5	0
15	50	0
20	47.5	0
10	42.5	0
15	45	0
20	42.5	0
20	42.5	50
30	22.5	0
30	47.5	0
27.5	45	0
30	47.5	0
32.5	45	0
25	42.5	0
30	45	0
35	42.5	0
25	37.5	0
30	40	0
35	37.5	0
25	32.5	0
30	35	0
35	32.5	0
25	27.5	0
30	30	0
35	27.5	0
35	27.5	50
67.5	22.5	0
67.5	47.5	0
65	45	0
67.5	47.5	0
70	45	0
62.5	42.5	0
67.5	45	0
72.5	42.5	0
62.5	37.5	0
67.5	40	0
72.5	37.5	0
62.5	32.5	0
67.5	35	0
72.5	32.5	0
62.5	27.5	0
67.5	30	0
72.5	27.5	0
72.5	27.5	50
85	37.5	0
85	75	0
82.5	70	0
85	75	0
87.5	70	0
80	67.5	0
85	70	0
90	67.5	0
80	62.5	0
85	65	0
90	62.5	0
80	57.5	0
85	60	0
90	57.5	0
80	52.5	0
85	55	0
90	52.5	0
80	47.5	0
85	50	0
90	47.5	0
80	42.5	0
85	45	0
90	42.5	0
90	42.5	50
